timestamp,activity,system,description,user_id,ip_address,hour_of_day,minute_of_hour,day_of_week,description_length,if_anomaly,if_anomaly_score,svm_anomaly,svm_anomaly_score,combined_anomaly,combined_anomaly_score
2025-05-02 13:39:34.494038,Configuration Change,File Server,Successful login from known device,user_20,,13,39,4,34,0,0.0034700940271654157,0,46.70007489947503,0,23.351772496751096
2025-05-02 16:17:34.494178,Network Connection Attempt,Load Balancer,Added new user account,user_2,192.168.1.10,16,17,4,22,1,-0.013175363600587353,0,0.4482012971053564,0,0.21751296675238452
2025-05-02 10:22:34.494335,User Account Modification,Load Balancer,Successful login from known device,user_16,,10,22,4,34,0,0.0017165923995681176,0,45.91707497354392,0,22.959395782971743
2025-05-02 10:09:34.494480,Database Query,Firewall,User password reset completed,user_1,,10,9,4,29,0,0.02553319253830394,0,26.950200758196473,0,13.487866975367389
2025-05-02 15:29:34.494721,API Call,Monitoring Server,Scheduled security scan completed,user_10,192.168.1.10,15,29,4,33,0,0.02358185965814097,0,48.913796919840735,0,24.46868938974944
2025-05-02 02:44:34.494903,Data Export,Database Cluster,Accessed sensitive financial_report.xlsx,unknown_user,,2,44,4,40,0,0.05020655670388069,0,22.677808356746112,0,11.364007456724996
2025-05-02 16:23:34.495096,API Call,Database Cluster,Scheduled security scan completed,user_45,192.168.1.10,16,23,4,33,0,0.01888417088510641,0,42.003383488080544,0,21.011133829482826
2025-05-02 08:33:34.495338,Configuration Change,Load Balancer,Added new user account,user_25,,8,33,4,22,0,0.005308389917613177,0,12.154238185820873,0,6.0797732878692425
2025-05-02 12:20:34.495477,System Reboot,Backup Server,Applied security patch successfully,user_35,,12,20,4,35,0,0.019446818135658794,0,46.20761621705748,0,23.113531517596567
2025-05-02 16:24:34.495637,User Login,Web App,Applied security patch successfully,user_4,172.16.0.50,16,24,4,35,0,0.01586364209550012,0,27.542567065270333,0,13.779215353682917
2025-05-02 15:04:34.495820,Configuration Change,Auth Server,Unauthorized system reboot initiated,user_50,,15,4,4,36,0,0.015153586053751,0,12.232009030859786,0,6.123581308456768
